repository_name,date,clones,unique
osprey,2022-05-27,2,2
osprey,2022-06-01,1,1
osprey,2022-06-03,495,3
osprey,2022-06-06,6,2
osprey,2022-06-07,4,1
osprey,2022-06-08,16,5
osprey,2022-06-09,3,3
osprey,2022-06-10,1,1
osprey,2022-06-11,1,1
osprey,2022-06-13,4,4
osprey,2022-06-14,6,3
osprey,2022-06-15,2,2
osprey,2022-06-16,12,7
osprey,2022-06-17,9,5
osprey,2022-06-19,1,1
osprey,2022-06-20,2,1
osprey,2022-06-21,2,1
osprey,2022-06-22,1,1
osprey,2022-06-23,2,1
osprey,2022-06-24,8,5
osprey,2022-06-25,1,1
osprey,2022-06-27,3,2
osprey,2022-06-28,3,3
osprey,2022-06-30,2,2
osprey,2022-07-04,3,2
osprey,2022-07-05,2,1
osprey,2022-07-06,2,2
osprey,2022-07-07,3,3
osprey,2022-07-08,10,4
osprey,2022-07-12,5,3
osprey,2022-07-14,2,2
osprey,2022-07-16,2,1
osprey,2022-07-19,1,1
osprey,2022-07-22,1,1
osprey,2022-07-25,9,4
osprey,2022-07-27,2,1
osprey,2022-07-28,1,1
osprey,2022-08-03,30,7
osprey,2022-08-04,11,6
osprey,2022-08-07,3,1
osprey,2022-08-09,3,2
osprey,2022-08-10,2,2
osprey,2022-08-11,1,1
osprey,2022-08-15,2,2
osprey,2022-08-17,5,3
osprey,2022-08-19,2,1
osprey,2022-08-22,1,1
osprey,2022-08-23,4,2
osprey,2022-08-29,5,3
osprey,2022-08-30,1,1
osprey,2022-09-01,3,2
osprey,2022-09-15,1,1
osprey,2022-09-18,1,1
osprey,2022-09-20,1,1
osprey,2022-09-22,1,1
osprey,2022-09-23,2,1
osprey,2022-09-24,2,1
osprey,2022-09-26,1,1
osprey,2022-09-30,1,1
osprey,2022-10-05,2,2
osprey,2022-10-07,2,2
osprey,2022-10-08,2,1
osprey,2022-10-09,1,1
osprey,2022-10-10,3,2
osprey,2022-10-11,3,2
osprey,2022-10-13,2,1
osprey,2022-10-14,1,1
osprey,2022-10-15,1,1
osprey,2022-10-18,2,2
osprey,2022-10-19,2,1
osprey,2022-10-20,2,1
osprey,2022-10-21,1,1
osprey,2022-10-22,1,1
osprey,2022-10-25,1,1
osprey,2022-10-26,1,1
osprey,2022-10-28,1,1
osprey,2022-10-31,7,4
osprey,2022-11-01,1,1
osprey,2022-11-02,3,3
osprey,2022-11-03,1,1
osprey,2022-11-07,2,1
osprey,2022-11-08,4,4
osprey,2022-11-09,2,2
osprey,2022-11-10,1,1
osprey,2022-11-11,3,2
osprey,2022-11-14,3,3
osprey,2022-11-16,6,5
osprey,2022-11-17,2,1
osprey,2022-11-21,2,1
osprey,2022-11-22,1,1
osprey,2022-11-25,2,2
osprey,2022-11-26,5,5
osprey,2022-12-02,6,3
osprey,2022-12-03,1,1
osprey,2022-12-04,1,1
osprey,2022-12-05,3,2
osprey,2022-12-06,2,1
osprey,2022-12-07,4,2
osprey,2022-12-08,3,2
osprey,2022-12-10,1,1
osprey,2022-12-12,5,2
osprey,2022-12-13,2,1
osprey,2022-12-16,4,3
osprey,2022-12-17,2,1
osprey,2022-12-22,1,1
osprey,2022-12-29,2,1
osprey,2023-01-02,3,2
osprey,2023-01-03,12,7
osprey,2023-01-04,8,5
osprey,2023-01-05,1,1
osprey,2023-01-08,1,1
osprey,2023-01-09,2,1
osprey,2023-01-10,2,2
osprey,2023-01-12,5,4
osprey,2023-01-13,1,1
osprey,2023-01-16,1,1
osprey,2023-01-17,5,4
osprey,2023-01-18,1,1
osprey,2023-01-20,1,1
osprey-dw-workshop,2022-01-28,1,1
osprey-dw-workshop,2022-04-08,1,1
osprey-dw-workshop,2022-05-11,2,1
osprey-dw-workshop,2022-05-13,4,2
osprey-dw-workshop,2022-06-07,2,1
osprey-dw-workshop,2022-06-10,2,1
osprey-dw-workshop,2022-06-15,2,1
osprey-dw-workshop,2022-06-19,2,1
osprey-dw-workshop,2022-06-24,2,1
osprey-dw-workshop,2022-07-06,2,1
osprey-dw-workshop,2022-07-09,1,1
osprey-dw-workshop,2022-07-12,2,1
osprey-dw-workshop,2022-08-04,1,1
osprey-dw-workshop,2022-08-15,2,2
osprey-dw-workshop,2022-08-16,1,1
osprey-dw-workshop,2022-08-17,1,1
osprey-dw-workshop,2022-08-18,8,2
osprey-dw-workshop,2022-08-19,2,2
osprey-dw-workshop,2022-08-20,2,2
osprey-dw-workshop,2022-08-21,2,1
osprey-dw-workshop,2022-08-22,1,1
osprey-dw-workshop,2022-08-23,2,2
